Census Tract Area,Status,NTA Name,geometry,Median Family Income,SNAP Benefits %,Education below high school diploma,Pop earning <=40K,Food Index
121000,LILA Zone,East New York-City Line,"{'type': 'Polygon', 'coordinates': (((-73.874624, 40.672389), (-73.873719, 40.672511), (-73.871303, 40.672858), (-73.870943, 40.671335), (-73.87056199999999, 40.669798), (-73.87011199999999, 40.668014), (-73.871875, 40.666764), (-73.872841, 40.668032), (-73.8738, 40.669335), (-73.874231, 40.670863), (-73.874624, 40.672389)),)}",21205,0.739103734,0.271646857,0.721473515,0.135644958
20500,LILA Zone,Prospect Heights,"{'type': 'Polygon', 'coordinates': (((-73.96885999999999, 40.677665), (-73.968542, 40.678543), (-73.968227, 40.679422), (-73.965341, 40.678818), (-73.962229, 40.678166), (-73.962547, 40.677287), (-73.962865, 40.676406), (-73.963183, 40.675529), (-73.963331, 40.67556099999999), (-73.966296, 40.67618), (-73.969178, 40.676785), (-73.96885999999999, 40.677665)),)}",130536,0.041724619,0.016680228,0.103668258,0.602905462
53500,LILA Zone,South Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.964421, 40.707534), (-73.962743, 40.707685), (-73.96114399999999, 40.707524), (-73.959395, 40.707352), (-73.958456, 40.707252), (-73.95864, 40.706477), (-73.959338, 40.705181), (-73.960341, 40.703437), (-73.961854, 40.704786), (-73.962485, 40.705352), (-73.963098, 40.7059), (-73.963745, 40.706479), (-73.964393, 40.707056), (-73.964849, 40.707454), (-73.964421, 40.707534)),)}",24795,0.715741813,0.357429713,0.631001353,0.296634454
94402,LILA Zone,Flatlands,"{'type': 'Polygon', 'coordinates': (((-73.922832, 40.635543), (-73.92101699999999, 40.636528), (-73.919172, 40.63747), (-73.918852, 40.634483), (-73.920683, 40.63333), (-73.922587, 40.633209), (-73.922832, 40.635543)),)}",30625,0.453383446,0.192825109,0.69120878,0.130285714
53900,LILA Zone,South Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.964426, 40.703122), (-73.961854, 40.704786), (-73.960341, 40.703437), (-73.961452, 40.701663), (-73.96217899999999, 40.700221), (-73.965204, 40.702623), (-73.964426, 40.703122)),)}",26361,0.458663642,0.42011413,0.611445785,0.153966387
57200,LILA Zone,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,"{'type': 'Polygon', 'coordinates': (((-73.94148, 40.598304), (-73.938637, 40.598609), (-73.93580399999999, 40.598924), (-73.935369, 40.596542), (-73.934949, 40.594429), (-73.93778, 40.594126), (-73.939641, 40.593922), (-73.94061099999999, 40.593808), (-73.94148, 40.598304)),)}",32348,0.5,0.203149602,0.613161147,0.179518908
80800,LILA Zone,Prospect Lefferts Gardens-Wingate,"{'type': 'Polygon', 'coordinates': (((-73.94735399999999, 40.65728), (-73.942314, 40.657609), (-73.94255, 40.659892), (-73.939734, 40.660074), (-73.939615, 40.657768), (-73.936864, 40.657942), (-73.933996, 40.658119), (-73.93209, 40.658235), (-73.931083, 40.658296), (-73.930903, 40.65661), (-73.931907, 40.656537), (-73.932847, 40.656478), (-73.934784, 40.656361), (-73.935718, 40.656303), (-73.938593, 40.656123), (-73.94053199999999, 40.656002), (-73.94240099999999, 40.655885), (-73.947159, 40.655594), (-73.94735399999999, 40.65728)),)}",40167,0.627586186,0.288581312,0.642487049,0.149680672
45300,LILA Zone,East Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.933919, 40.707487), (-73.93229699999999, 40.707749), (-73.93207199999999, 40.707786), (-73.921892, 40.709396), (-73.92416899999999, 40.707394), (-73.92608899999999, 40.70568), (-73.928738, 40.704717), (-73.93115499999999, 40.703773), (-73.932698, 40.703171), (-73.933594, 40.706371), (-73.933919, 40.707487)),)}",38981,0.200594351,0.302534312,0.612244904,0.283773109
12801,LILA Zone,Dyker Heights,"{'type': 'Polygon', 'coordinates': (((-74.015748, 40.631765), (-74.01513899999999, 40.63321699999999), (-74.010004, 40.630113), (-74.011428, 40.629162), (-74.012142, 40.628684), (-74.01490299999999, 40.630353), (-74.016048, 40.631033), (-74.015748, 40.631765)),)}",50833,0.181704268,0.392657131,0.539215684,0.237394958
22000,LILA Zone,Borough Park,"{'type': 'Polygon', 'coordinates': (((-73.99909099999999, 40.637415), (-73.998374, 40.637893), (-73.99694199999999, 40.638853), (-73.993738, 40.636914), (-73.991539, 40.635583), (-73.99212, 40.635026), (-73.9927, 40.634467), (-73.993284, 40.633906), (-73.993866, 40.633347), (-73.996067, 40.634673), (-73.998265, 40.63600599999999), (-73.99980699999999, 40.636936), (-73.99909099999999, 40.637415)),)}",30583,0.297074258,0.24454546,0.649831653,0.267346639
54500,LILA Zone,South Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.968389, 40.706829), (-73.967289, 40.707002), (-73.964849, 40.707454), (-73.964393, 40.707056), (-73.963745, 40.706479), (-73.963098, 40.7059), (-73.962485, 40.705352), (-73.961854, 40.704786), (-73.964426, 40.703122), (-73.965204, 40.702623), (-73.96721, 40.704256), (-73.96761599999999, 40.704961), (-73.968389, 40.706829)),)}",26303,0.652885795,0.34665966,0.662933946,0.191521008
