Census Tract Area,Status,NTA Name,geometry,Median Family Income,SNAP Benefits %,Education below high school diploma,Pop earning <=40K,Food Index
33000,LILA Zone,Coney Island-Sea Gate,"{'type': 'Polygon', 'coordinates': (((-74.0039747452589, 40.5821685700235), (-74.001674, 40.581919), (-74.0016491444448, 40.5819643174517), (-74.0013361867149, 40.5825349121006), (-73.990679, 40.58006), (-73.990504, 40.578358), (-73.992638, 40.578118), (-73.995809, 40.577759), (-73.998992, 40.577383), (-74.000034, 40.577245), (-74.001105, 40.577121), (-74.00322299999999, 40.576887), (-74.003485, 40.578262), (-74.003608, 40.57890099999999), (-74.003924, 40.58059799999999), (-74.0039747452589, 40.5821685700235)),)}",31488,0.548507452,0.266008288,0.540498435,0.116678571
123700,LILA Zone,Bedford-Stuyvesant (West),"{'type': 'Polygon', 'coordinates': (((-73.961051, 40.698326), (-73.95885799999999, 40.698677), (-73.95702, 40.698974), (-73.956075, 40.69909), (-73.95336999999999, 40.699405), (-73.952925, 40.697204), (-73.952489, 40.695004), (-73.953414, 40.694893), (-73.955197, 40.694688), (-73.956143, 40.694579), (-73.95799699999999, 40.694366), (-73.96015799999999, 40.694117), (-73.960621, 40.69632), (-73.961051, 40.698326)),)}",32545,0.481639624,0.312007427,0.49338758,0.449281513
91600,LILA Zone,Brownsville,"{'type': 'Polygon', 'coordinates': (((-73.911727, 40.662135), (-73.909857, 40.662412), (-73.90892, 40.662554), (-73.908524, 40.661014), (-73.907585, 40.661156), (-73.907191, 40.659619), (-73.906795, 40.658084), (-73.906369, 40.656412), (-73.907307, 40.656273), (-73.908245, 40.656133), (-73.910123, 40.655852), (-73.910549, 40.657525), (-73.910943, 40.659061), (-73.911335, 40.660597), (-73.911727, 40.662135)),)}",41406,0.614258409,0.186528504,0.317174524,0.410743697
48900,LILA Zone,East Williamsburg,"{'type': 'Polygon', 'coordinates': (((-73.94103, 40.704637), (-73.939313, 40.704815), (-73.938599, 40.704066), (-73.937784, 40.703525), (-73.936982, 40.70191), (-73.93763, 40.701739), (-73.94042, 40.701077), (-73.940726, 40.702901), (-73.94103, 40.704637)),)}",22896,0.696261704,0.404418826,0.61572051,0.096428571
92000,LILA Zone,Brownsville,"{'type': 'Polygon', 'coordinates': (((-73.907191, 40.659619), (-73.90626999999999, 40.659754), (-73.90438499999999, 40.660034), (-73.90158, 40.66045099999999), (-73.900661, 40.660587), (-73.899652, 40.660735), (-73.89880699999999, 40.657407), (-73.899041, 40.657372), (-73.900303, 40.657263), (-73.903564, 40.656826), (-73.90545, 40.656547), (-73.906369, 40.656412), (-73.906795, 40.658084), (-73.907191, 40.659619)),)}",31296,0.404740989,0.155852422,0.619741142,0.148073529
9800,LILA Zone,Sunset Park (Central),"{'type': 'Polygon', 'coordinates': (((-74.010902, 40.644547), (-74.010319, 40.645106), (-74.009736, 40.645667), (-74.009153, 40.646227), (-74.00695, 40.644897), (-74.004747, 40.643567), (-74.00533, 40.643006), (-74.00591299999999, 40.642445), (-74.00707899999999, 40.64132499999999), (-74.009281, 40.642657), (-74.011484, 40.643986), (-74.010902, 40.644547)),)}",33495,0.321599036,0.596689463,0.431435466,0.379205882
34200,LILA Zone,Coney Island-Sea Gate,"{'type': 'Polygon', 'coordinates': (((-74.002796, 40.574637), (-74.000675, 40.574868), (-73.998556, 40.575101), (-73.997497, 40.575218), (-73.99538, 40.575451), (-73.992195, 40.57580799999999), (-73.991743, 40.57342999999999), (-73.992773, 40.573198), (-73.99490399999999, 40.572873), (-73.997044, 40.572751), (-73.998088, 40.572752), (-74.00031, 40.572933), (-74.00254799999999, 40.573327), (-74.002796, 40.574637)),)}",28582,0.667982757,0.266831696,0.654463708,0.271722689
115600,LILA Zone,East New York (North),"{'type': 'Polygon', 'coordinates': (((-73.898341, 40.670212), (-73.895544, 40.670626), (-73.894556, 40.67077), (-73.89423099999999, 40.669519), (-73.893839, 40.66798), (-73.893446, 40.666446), (-73.89443899999999, 40.666297), (-73.896316, 40.666019), (-73.897233, 40.665878), (-73.897633, 40.667419), (-73.89802, 40.668958), (-73.898341, 40.670212)),)}",32692,0.574673474,0.315008014,0.603231609,0.214237395
90000,LILA Zone,Brownsville,"{'type': 'Polygon', 'coordinates': (((-73.92438899999999, 40.666385), (-73.922753, 40.667098), (-73.921872, 40.667481), (-73.92102, 40.667852), (-73.920039, 40.668282), (-73.919231, 40.668631), (-73.918382, 40.669002), (-73.91748199999999, 40.669393), (-73.917306, 40.668708), (-73.91626699999999, 40.664654), (-73.917221, 40.66451), (-73.91814099999999, 40.664373), (-73.919097, 40.66423), (-73.92004899999999, 40.664089), (-73.92097199999999, 40.663953), (-73.921655, 40.663843), (-73.922099, 40.664251), (-73.922879, 40.664952), (-73.92438899999999, 40.666385)),)}",25544,0.53014791,0.279649109,0.54899776,0.093647059
90600,LILA Zone,Brownsville,"{'type': 'Polygon', 'coordinates': (((-73.91133599999999, 40.672077), (-73.909255, 40.672948), (-73.907877, 40.673567), (-73.907337, 40.671506), (-73.906998, 40.670241), (-73.906673, 40.668974), (-73.90635499999999, 40.667708), (-73.91009, 40.667154), (-73.910416, 40.668415), (-73.910742, 40.669685), (-73.91106599999999, 40.670955), (-73.91133599999999, 40.672077)),)}",23750,0.790857136,0.19898665,0.594202876,0.239241597
35200,LILA Zone,Coney Island-Sea Gate,"{'type': 'Polygon', 'coordinates': (((-74.002366, 40.572318), (-74.00008799999999, 40.57180899999999), (-73.994726, 40.57152), (-73.991387, 40.571656), (-73.991743, 40.57342999999999), (-73.98968599999999, 40.574004), (-73.985573, 40.57515), (-73.983435, 40.57541399999999), (-73.981256, 40.575563), (-73.976619, 40.575301), (-73.973451, 40.574799), (-73.973028, 40.57605), (-73.970781, 40.575788), (-73.96992, 40.57558299999999), (-73.968868, 40.575236), (-73.966754, 40.574833), (-73.964711, 40.574782), (-73.962881, 40.574983), (-73.961034, 40.575076), (-73.959414, 40.57515799999999), (-73.95942223594291, 40.5740168643515), (-73.9820844563704, 40.5714138101483), (-73.9907535993926, 40.57041804500449), (-73.991346, 40.57035), (-74.0020520025973, 40.5706228981054), (-74.002366, 40.572318)),)}",14840,0.839285731,0.392825127,0.602150559,0.024966387
89200,LILA Zone,East Flatbush-Remsen Village,"{'type': 'Polygon', 'coordinates': (((-73.92638, 40.665515), (-73.92438899999999, 40.666385), (-73.922879, 40.664952), (-73.922099, 40.664251), (-73.921655, 40.663843), (-73.92097199999999, 40.663953), (-73.92004899999999, 40.664089), (-73.919097, 40.66423), (-73.918703, 40.66269399999999), (-73.91829899999999, 40.661162), (-73.91860199999999, 40.66111799999999), (-73.919584, 40.661994), (-73.919744, 40.660771), (-73.920082, 40.659858), (-73.920909, 40.660599), (-73.92272799999999, 40.662231), (-73.924549, 40.66386199999999), (-73.92638, 40.665515)),)}",33241,0.595208824,0.169511244,0.797921479,0.202308824
11800,LILA Zone,Sunset Park (Central),"{'type': 'Polygon', 'coordinates': (((-74.01606799999999, 40.636139), (-74.015146, 40.637014), (-74.014567, 40.637571), (-74.013961, 40.638153), (-74.01176, 40.636823), (-74.009557, 40.635493), (-74.007356, 40.634164), (-74.00556399999999, 40.633084), (-74.00702299999999, 40.63211), (-74.010742, 40.634357), (-74.011326, 40.633795), (-74.01190799999999, 40.633234), (-74.016306, 40.635896), (-74.01606799999999, 40.636139)),)}",52188,0.152512997,0.594909072,0.37527594,0.323737395
90800,LILA Zone,Brownsville,"{'type': 'Polygon', 'coordinates': (((-73.907877, 40.673567), (-73.903475, 40.675507), (-73.902289, 40.670936), (-73.90198199999999, 40.66967), (-73.901668, 40.668413), (-73.902626, 40.668273), (-73.903573, 40.668128), (-73.90446399999999, 40.667988), (-73.90635499999999, 40.667708), (-73.906673, 40.668974), (-73.906998, 40.670241), (-73.907337, 40.671506), (-73.907877, 40.673567)),)}",18857,0.579147637,0.325559467,0.777142882,0.007720588
34000,LILA Zone,Coney Island-Sea Gate,"{'type': 'Polygon', 'coordinates': (((-74.00254799999999, 40.573327), (-74.00031, 40.572933), (-73.998088, 40.572752), (-73.997044, 40.572751), (-73.99490399999999, 40.572873), (-73.992773, 40.573198), (-73.991743, 40.57342999999999), (-73.991387, 40.571656), (-73.994726, 40.57152), (-74.00008799999999, 40.57180899999999), (-74.002366, 40.572318), (-74.00254799999999, 40.573327)),)}",31471,0.552547753,0.209815949,0.671087503,0.111054622
111000,LILA Zone,East New York-New Lots,"{'type': 'Polygon', 'coordinates': (((-73.884131, 40.661433), (-73.880892, 40.662834), (-73.879683, 40.66117), (-73.878592, 40.659701), (-73.88182599999999, 40.658308), (-73.88291199999999, 40.659781), (-73.884131, 40.661433)),)}",25111,0.569666207,0.336368501,0.614549398,0.142714286
25500,LILA Zone,Bedford-Stuyvesant (West),"{'type': 'Polygon', 'coordinates': (((-73.95336999999999, 40.699405), (-73.950091, 40.699791), (-73.949788, 40.69831), (-73.949647, 40.697583), (-73.9495, 40.696847), (-73.949207, 40.695378), (-73.952489, 40.695004), (-73.952925, 40.697204), (-73.95336999999999, 40.699405)),)}",23520,0.624094188,0.441471577,0.72166425,0.171966387
28100,LILA Zone,Bedford-Stuyvesant (East),"{'type': 'Polygon', 'coordinates': (((-73.9431, 40.69382299999999), (-73.940265, 40.694148), (-73.937342, 40.694485), (-73.937195, 40.693752), (-73.937049, 40.693021), (-73.936905, 40.692288), (-73.936758, 40.691556), (-73.939681, 40.691219), (-73.942516, 40.690892), (-73.942662, 40.691624), (-73.942951, 40.693091), (-73.9431, 40.69382299999999)),)}",25625,0.381294966,0.197752014,0.661506712,0.296901261
23400,LILA Zone,Borough Park,"{'type': 'Polygon', 'coordinates': (((-73.991539, 40.635583), (-73.990956, 40.636145), (-73.99037299999999, 40.636705), (-73.985964, 40.634047), (-73.983763, 40.632717), (-73.984344, 40.632157), (-73.984928, 40.631597), (-73.985509, 40.631038), (-73.987713, 40.632366), (-73.99212, 40.635026), (-73.991539, 40.635583)),)}",31800,0.509661853,0.247268543,0.635768831,0.116787815
